#metadataBlock	name	dataverseAlias   displayName													
	geospatial		Geospatial Metadata												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
	country	Malaysia		134											
	country	Maldives		135											
	country	Mali		136											
	country	Malta		137											
	country	Marshall Islands		138											
	country	Martinique		139											
	country	Mauritania		140											
	country	Mauritius		141											
	country	Mayotte		142											
	country	Mexico		143											
	country	Micronesia, Federated States of		144											
	country	Moldova, Republic of		145											
	country	Monaco		146											
	country	Mongolia		147											
	country	Montenegro		148											
	country	Montserrat		149											
	country	Morocco		150											
	country	Mozambique		151	MOZAMBIQUE										
	country	Myanmar		152											
	country	Namibia		153	NAMIBIA										
	country	Nauru		154											
	country	Nepal		155											
	country	Netherlands		156											
	country	New Caledonia		157											
	country	New Zealand		158											
	country	Nicaragua		159											
	country	Niger		160											
	country	Nigeria		161											
	country	Niue		162											
	country	Norfolk Island		163											
	country	Northern Mariana Islands		164											
	country	Norway		165											
	country	Oman		166											
	country	Pakistan		167											
	country	Palau		168											
	country	Palestine, State of		169											
	country	Panama		170											
	country	Papua New Guinea		171											
	country	Paraguay		172											
	country	Peru		173											
	country	Philippines		174											
	country	Pitcairn		175											
	country	Poland		176											
	country	Portugal		177											
	country	Puerto Rico		178											
	country	Qatar		179											
	country	Réunion		180											
	country	Romania		181											
	country	Russian Federation		182											
	country	Rwanda		183											
	country	Saint Barthélemy		184											
	country	Saint Helena, Ascension and Tristan da Cunha		185											
	country	Saint Kitts and Nevis		186											
	country	Saint Lucia		187											
	country	Saint Martin (French part)		188											
	country	Saint Pierre and Miquelon		189											
	country	Saint Vincent and the Grenadines		190											
	country	Samoa		191											
	country	San Marino		192											
	country	Sao Tome and Principe		193											
	country	Saudi Arabia		194											
	country	Senegal		195											
	country	Serbia		196											
	country	Seychelles		197											
	country	Sierra Leone		198											
	country	Singapore		199											
	country	Sint Maarten (Dutch part)		200											
	country	Slovakia		201											
	country	Slovenia		202											
	country	Solomon Islands		203											
